Volcanoes of the World 4.3.0,,Downloaded on 13 Jul 2014 at 11:45 PM,,,
Volcano Number,Volcano Name,Author,Publication Year,Title,Source
265040,Wurlali,"Kaswanda O, Said H, Rahardja N",1987,,(pers. comm.)
265040,Wurlali,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
265040,Wurlali,Sudradjat A,1977,,(pers. comm.)
265040,Wurlali,Vroon P Z,1992,"Subduction of continental material in the Banda Arc, eastern Indonesia: Sr-Nd-Pb isotope and trace element evidence from volcanics and sediments","Fac Aardwetenschappen Rijksuniversiteit Utrecht, 205 p"
265050,Teon,"Jezek P A, Hutchison C S",1978,Banda Arc of Eastern Indonesia: petrology and geochemistry of volcanic rocks,"Bull Volc, 41: 586-608"
265050,Teon,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
265050,Teon,Sudradjat A,1977,,(pers. comm.)
265060,Nila,"Jezek P A, Hutchison C S",1978,Banda Arc of Eastern Indonesia: petrology and geochemistry of volcanic rocks,"Bull Volc, 41: 586-608"
265060,Nila,Kusumadinata K,1979,Data Dasar Gunungapi Indonesia,"Bandung: Volc Surv Indonesia, 820 p"
265060,Nila,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
265060,Nila,"Varekamp J C, Snellius II Shipboard Party",1984,"The Banda arc volcanoes, eastern Indonesia (abs)","Eos, Trans Amer Geophys Union, 65: 1135"
265060,Nila,Vroon P Z,1992,"Subduction of continental material in the Banda Arc, eastern Indonesia: Sr-Nd-Pb isotope and trace element evidence from volcanics and sediments","Fac Aardwetenschappen Rijksuniversiteit Utrecht, 205 p"
265070,Serua,"Jezek P A, Hutchison C S",1978,Banda Arc of Eastern Indonesia: petrology and geochemistry of volcanic rocks,"Bull Volc, 41: 586-608"
265070,Serua,Kusumadinata K,1979,Data Dasar Gunungapi Indonesia,"Bandung: Volc Surv Indonesia, 820 p"
265070,Serua,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
265070,Serua,Sudradjat A,1977,,(pers. comm.)
265080,Manuk,"Jezek P A, Hutchison C S",1978,Banda Arc of Eastern Indonesia: petrology and geochemistry of volcanic rocks,"Bull Volc, 41: 586-608"
265080,Manuk,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
265080,Manuk,Sapper K,1917,Katalog der Geschichtlichen Vulkanausbruche,"Strasbourg: Karl J Trubner, 358 p"
265090,Banda Api,"Casadevall T J, Pardyanto L, Abas H, Tulus",1989,"The 1988 eruption of Banda Api volcano, Maluku, Indonesia","Geol Indonesia, 12: 603-635"
265090,Banda Api,"Jezek P A, Hutchison C S",1978,Banda Arc of Eastern Indonesia: petrology and geochemistry of volcanic rocks,"Bull Volc, 41: 586-608"
265090,Banda Api,Katsui Y (ed),1971,List of the World Active Volcanoes,"Volc Soc Japan draft ms, (limited circulation), 160 p"
265090,Banda Api,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
265090,Banda Api,Vroon P Z,1992,"Subduction of continental material in the Banda Arc, eastern Indonesia: Sr-Nd-Pb isotope and trace element evidence from volcanics and sediments","Fac Aardwetenschappen Rijksuniversiteit Utrecht, 205 p"
266010,Colo [Una Una],"Katili J A, Kartaadiputra L, Surio",1963,"Magma type and tectonic position of the Una-Una Island, Indonesia","Bull Volc, 26: 431-454"
266010,Colo [Una Una],"Katili J A, Sudradjat A",1984a,"The devastating 1983 eruption of Colo volcano, Una-Una Island, central Sulawesi, Indonesia","Geol Jahrb, 75: 27-47"
266010,Colo [Una Una],Kusumadinata K,1979,Data Dasar Gunungapi Indonesia,"Bandung: Volc Surv Indonesia, 820 p"
266010,Colo [Una Una],Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
266010,Colo [Una Una],Sudradjat A,1977,,(pers. comm.)
266020,Ambang,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
266020,Ambang,Kusumadinata K,1979,Data Dasar Gunungapi Indonesia,"Bandung: Volc Surv Indonesia, 820 p"
266020,Ambang,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
266030,Soputan,Kusumadinata K,1979,Data Dasar Gunungapi Indonesia,"Bandung: Volc Surv Indonesia, 820 p"
266030,Soputan,"Morrice M G, Jezek P A, Gill J B, Whitford D J, Monoarfa M",1983,"An introduction to the Sangihe arc: volcanism accompanying arc-arc collision in the Molucca Sea, Indonesia","J Volc Geotherm Res, 19: 135-165"
266030,Soputan,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
266040,Sempu,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
266070,Tondano Caldera,Effendi A C,1976,"Geologic map of the Manado quadrangle, north Sulawesi","Volc Surv Indonesia, geol map"
266070,Tondano Caldera,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
266070,Tondano Caldera,"Newhall C G, Dzurisin D",1988,Historical unrest at large calderas of the world,"U S Geol Surv Bull, 1855: 1108 p, 2 vol"
266100,Lokon-Empung,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
266100,Lokon-Empung,Matahelumual J,1986b,G Lokon-Empung,"Bull Volc Surv Indonesia, 114: 1-52 (in Indonesian)"
266100,Lokon-Empung,"Morrice M G, Jezek P A, Gill J B, Whitford D J, Monoarfa M",1983,"An introduction to the Sangihe arc: volcanism accompanying arc-arc collision in the Molucca Sea, Indonesia","J Volc Geotherm Res, 19: 135-165"
266100,Lokon-Empung,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
266110,Mahawu,Kusumadinata K,1979,Data Dasar Gunungapi Indonesia,"Bandung: Volc Surv Indonesia, 820 p"
266110,Mahawu,Matahelumual J,1986b,G Lokon-Empung,"Bull Volc Surv Indonesia, 114: 1-52 (in Indonesian)"
266110,Mahawu,"Morrice M G, Jezek P A, Gill J B, Whitford D J, Monoarfa M",1983,"An introduction to the Sangihe arc: volcanism accompanying arc-arc collision in the Molucca Sea, Indonesia","J Volc Geotherm Res, 19: 135-165"
266110,Mahawu,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
266120,Klabat,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
266130,Tongkoko,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
266130,Tongkoko,Kusumadinata K,1979,Data Dasar Gunungapi Indonesia,"Bandung: Volc Surv Indonesia, 820 p"
266130,Tongkoko,"Morrice M G, Jezek P A, Gill J B, Whitford D J, Monoarfa M",1983,"An introduction to the Sangihe arc: volcanism accompanying arc-arc collision in the Molucca Sea, Indonesia","J Volc Geotherm Res, 19: 135-165"
266130,Tongkoko,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
266130,Tongkoko,"Tatsumi Y, Murasaki M, Arsadi E M, Nohda S",1991,Geochemistry of Quaternary lavas from NE Sulawesi: transfer of subduction components into the mantle wedge,"Contr Mineral Petr, 107: 137-149"
267010,Ruang,Kusumadinata K,1979,Data Dasar Gunungapi Indonesia,"Bandung: Volc Surv Indonesia, 820 p"
267010,Ruang,"Morrice M G, Jezek P A, Gill J B, Whitford D J, Monoarfa M",1983,"An introduction to the Sangihe arc: volcanism accompanying arc-arc collision in the Molucca Sea, Indonesia","J Volc Geotherm Res, 19: 135-165"
267010,Ruang,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
267010,Ruang,Neumann van Padang M,1959,Changes in the top of Mount Ruang (Indonesia),"Geol en Mijnbouw, 21: 113-118"
267020,Karangetang [Api Siau],Manalu L,1986,G Karangetang,"Bull Volc Surv Indonesia, 109: 1-48"
267020,Karangetang [Api Siau],"Morrice M G, Jezek P A, Gill J B, Whitford D J, Monoarfa M",1983,"An introduction to the Sangihe arc: volcanism accompanying arc-arc collision in the Molucca Sea, Indonesia","J Volc Geotherm Res, 19: 135-165"
267020,Karangetang [Api Siau],Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
267020,Karangetang [Api Siau],Sudradjat A,1977,,(pers. comm.)
267020,Karangetang [Api Siau],Volcanological Survey of Indonesia,1986b,Annual report of the Volcanological Survey 1984-1985,"Bull Volc Surv Indonesia, no 113"
267030,Banua Wuhu,Kusumadinata K,1979,Data Dasar Gunungapi Indonesia,"Bandung: Volc Surv Indonesia, 820 p"
267030,Banua Wuhu,"Morrice M G, Jezek P A, Gill J B, Whitford D J, Monoarfa M",1983,"An introduction to the Sangihe arc: volcanism accompanying arc-arc collision in the Molucca Sea, Indonesia","J Volc Geotherm Res, 19: 135-165"
267030,Banua Wuhu,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
267030,Banua Wuhu,Zelenov K K,1964,"The submarine volcano Banua Wuhu, Indonesia","Bandung Inst Tech Dept Geol Contr, 55: 19-34"
267040,Awu,Kusumadinata K,1979,Data Dasar Gunungapi Indonesia,"Bandung: Volc Surv Indonesia, 820 p"
267040,Awu,Matahelumual J,1985,G Awu,"Bull Volc Surv Indonesia, 107: 1-51 (in Indonesian)"
267040,Awu,"Morrice M G, Jezek P A, Gill J B, Whitford D J, Monoarfa M",1983,"An introduction to the Sangihe arc: volcanism accompanying arc-arc collision in the Molucca Sea, Indonesia","J Volc Geotherm Res, 19: 135-165"
267040,Awu,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
268001,Tarakan,Gogarten E,1918,Die Vulkane der Nordlichen Molukken,"Zeit Vulk, 2: 1-298"
268001,Tarakan,Supriatna S,1980,"Geologic map of Morotai quadrangle, north Maluku","Geol Res Devel Centre Indonesia, 1:250,000 scale map and 10 p text"
268001,Tarakan,Verstappen H Th,1964,Some volcanoes of Halmahera (Moluccas) and their geomorphological setting,"Ned Aardr Gen, 81: 297-316"
268010,Dukono,Hantke G,1953,Ubersicht uber die Vulkanische Tatigkeit 1948-1950,"Bull Volc, 14: 151-180"
268010,Dukono,Kusumadinata K,1979,Data Dasar Gunungapi Indonesia,"Bandung: Volc Surv Indonesia, 820 p"
268010,Dukono,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
268010,Dukono,Supriatna S,1980,"Geologic map of Morotai quadrangle, north Maluku","Geol Res Devel Centre Indonesia, 1:250,000 scale map and 10 p text"
268020,Tobaru,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
268020,Tobaru,Supriatna S,1980,"Geologic map of Morotai quadrangle, north Maluku","Geol Res Devel Centre Indonesia, 1:250,000 scale map and 10 p text"
268030,Ibu,Jezek P,1979,Volcano resume--Ibu,"Volcano News, 1: 7"
268030,Ibu,"Morris J D, Jezek P A, Hart S R, Gill J B",1983,"The Halmahera Island arc, Molucca Sea collision zone, Indonesia: a  geochemical survey","In: Hayes D E (ed) The Tectonic and Geologic Evolution of Southeast Asia Seas and Islands, part 2, {Amer Geophys Union, Geophys Monogr}, 27: 373-387"
268030,Ibu,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
268030,Ibu,Verstappen H Th,1964,Some volcanoes of Halmahera (Moluccas) and their geomorphological setting,"Ned Aardr Gen, 81: 297-316"
268040,Gamkonora,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
268040,Gamkonora,Supriatna S,1980,"Geologic map of Morotai quadrangle, north Maluku","Geol Res Devel Centre Indonesia, 1:250,000 scale map and 10 p text"
268040,Gamkonora,Verstappen H Th,1964,Some volcanoes of Halmahera (Moluccas) and their geomorphological setting,"Ned Aardr Gen, 81: 297-316"
268050,Todoko-Ranu,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
268050,Todoko-Ranu,Supriatna S,1980,"Geologic map of Morotai quadrangle, north Maluku","Geol Res Devel Centre Indonesia, 1:250,000 scale map and 10 p text"
268050,Todoko-Ranu,Verstappen H Th,1964,Some volcanoes of Halmahera (Moluccas) and their geomorphological setting,"Ned Aardr Gen, 81: 297-316"
268051,Jailolo,Gogarten E,1918,Die Vulkane der Nordlichen Molukken,"Zeit Vulk, 2: 1-298"
268051,Jailolo,Katsui Y (ed),1971,List of the World Active Volcanoes,"Volc Soc Japan draft ms, (limited circulation), 160 p"
268051,Jailolo,"Morris J D, Jezek P A, Hart S R, Gill J B",1983,"The Halmahera Island arc, Molucca Sea collision zone, Indonesia: a  geochemical survey","In: Hayes D E (ed) The Tectonic and Geologic Evolution of Southeast Asia Seas and Islands, part 2, {Amer Geophys Union, Geophys Monogr}, 27: 373-387"
268051,Jailolo,Supriatna S,1980,"Geologic map of Morotai quadrangle, north Maluku","Geol Res Devel Centre Indonesia, 1:250,000 scale map and 10 p text"
268051,Jailolo,Verstappen H Th,1964,Some volcanoes of Halmahera (Moluccas) and their geomorphological setting,"Ned Aardr Gen, 81: 297-316"
268052,Hiri,"Apandi T, Sudana D",1980,"Geologic map of the Ternate quadrangle, north Maluku","Geol Res Devel Centre Indonesia, 1:250,000 scale map and 9 p text"
268052,Hiri,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
268052,Hiri,"Morris J D, Jezek P A, Hart S R, Gill J B",1983,"The Halmahera Island arc, Molucca Sea collision zone, Indonesia: a  geochemical survey","In: Hayes D E (ed) The Tectonic and Geologic Evolution of Southeast Asia Seas and Islands, part 2, {Amer Geophys Union, Geophys Monogr}, 27: 373-387"
268060,Gamalama,"Apandi T, Sudana D",1980,"Geologic map of the Ternate quadrangle, north Maluku","Geol Res Devel Centre Indonesia, 1:250,000 scale map and 9 p text"
268060,Gamalama,"Bronto S, Hadisantono R D, Lockwood J P",1982,"Geologic map of Gamalama volcano, Ternate, North Maluku","Volc Surv Indonesia, 1:25,000 geol map"
268060,Gamalama,Gogarten E,1918,Die Vulkane der Nordlichen Molukken,"Zeit Vulk, 2: 1-298"
268060,Gamalama,Kusumadinata K,1979,Data Dasar Gunungapi Indonesia,"Bandung: Volc Surv Indonesia, 820 p"
268060,Gamalama,"Morris J D, Jezek P A, Hart S R, Gill J B",1983,"The Halmahera Island arc, Molucca Sea collision zone, Indonesia: a  geochemical survey","In: Hayes D E (ed) The Tectonic and Geologic Evolution of Southeast Asia Seas and Islands, part 2, {Amer Geophys Union, Geophys Monogr}, 27: 373-387"
268060,Gamalama,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
268060,Gamalama,Sudradjat A,1977,,(pers. comm.)
268061,Tidore,"Apandi T, Sudana D",1980,"Geologic map of the Ternate quadrangle, north Maluku","Geol Res Devel Centre Indonesia, 1:250,000 scale map and 9 p text"
268061,Tidore,"Morris J D, Jezek P A, Hart S R, Gill J B",1983,"The Halmahera Island arc, Molucca Sea collision zone, Indonesia: a  geochemical survey","In: Hayes D E (ed) The Tectonic and Geologic Evolution of Southeast Asia Seas and Islands, part 2, {Amer Geophys Union, Geophys Monogr}, 27: 373-387"
268062,Mare,"Apandi T, Sudana D",1980,"Geologic map of the Ternate quadrangle, north Maluku","Geol Res Devel Centre Indonesia, 1:250,000 scale map and 9 p text"
268063,Moti,"Apandi T, Sudana D",1980,"Geologic map of the Ternate quadrangle, north Maluku","Geol Res Devel Centre Indonesia, 1:250,000 scale map and 9 p text"
268063,Moti,"Morris J D, Jezek P A, Hart S R, Gill J B",1983,"The Halmahera Island arc, Molucca Sea collision zone, Indonesia: a  geochemical survey","In: Hayes D E (ed) The Tectonic and Geologic Evolution of Southeast Asia Seas and Islands, part 2, {Amer Geophys Union, Geophys Monogr}, 27: 373-387"
268063,Moti,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
268070,Makian,Kusumadinata K,1979,Data Dasar Gunungapi Indonesia,"Bandung: Volc Surv Indonesia, 820 p"
268070,Makian,Matahelumual J,1986a,G Makian,"Bull Volc Surv Indonesia, 110: 1-37 (in Indonesian)"
268070,Makian,"Morris J D, Jezek P A, Hart S R, Gill J B",1983,"The Halmahera Island arc, Molucca Sea collision zone, Indonesia: a  geochemical survey","In: Hayes D E (ed) The Tectonic and Geologic Evolution of Southeast Asia Seas and Islands, part 2, {Amer Geophys Union, Geophys Monogr}, 27: 373-387"
268070,Makian,Neumann van Padang M,1951,Indonesia,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 1: 1-271"
268070,Makian,Sudradjat A,1977,,(pers. comm.)
268071,Tigalalu,"Apandi T, Sudana D",1980,"Geologic map of the Ternate quadrangle, north Maluku","Geol Res Devel Centre Indonesia, 1:250,000 scale map and 9 p text"
268071,Tigalalu,"Morris J D, Jezek P A, Hart S R, Gill J B",1983,"The Halmahera Island arc, Molucca Sea collision zone, Indonesia: a  geochemical survey","In: Hayes D E (ed) The Tectonic and Geologic Evolution of Southeast Asia Seas and Islands, part 2, {Amer Geophys Union, Geophys Monogr}, 27: 373-387"
268072,Amasing,Yasin A,1980,"Geologic map of the Bacan quadrangle, north Makalu","Geol Res Devel Centre Indonesia, 1:250,000 scale map and 10 p text"
268073,Bibinoi,Yasin A,1980,"Geologic map of the Bacan quadrangle, north Makalu","Geol Res Devel Centre Indonesia, 1:250,000 scale map and 10 p text"
269010,Bombalai,Kirk H J C,1968,The igneous rocks of Sarawak and Sabah,"Geol Surv Borneo Region Malasia Bull, 5: 1-220"
269010,Bombalai,"Macpherson C G, Chiang K K, Hall R, Nowell G M, Castillo P R, Thirlwall M F",2010,"Plio-Pleistocene intra-plate magmatism from the southern Sulu Arc, Semporna peninsula, Sabah, Borneo: implications for high-Nb basalt in subduction zones","J Volc Geotherm Res, 190: 25-38"
270010,Jolo,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
270010,Jolo,"Castillo P R, Solidum R U, Punongbayan R S",2002,"Origin of high field strength element enrichment in the Sulu Arc, southern Philippines, revisited","Geology, 30: 707-710"
270010,Jolo,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
270010,Jolo,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
270010,Jolo,PHIVOLCS,2004-,Volcanoes,http://www.phivolcs.dost.gov.ph/Volcanolist/
270010,Jolo,Pena O,1982,,(pers. comm.)
271010,Balut,Balmes C P,2000,"The geochemistry of the Mt. Balut Island geothermal prospect, Davao del Sur, Philippines","Proc World Geotherm Cong 2000, Kyushu-Tohoku, Japan, May 28-June 10, 2000, p 959-964"
271010,Balut,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
271010,Balut,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
271010,Balut,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
271010,Balut,Newhall C G,1996,,(pers. comm.)
271010,Balut,PHIVOLCS,2004-,Volcanoes,http://www.phivolcs.dost.gov.ph/Volcanolist/
271011,Parker,"Catane S G, Taniguchi H, Goto A, Givero A P, Mandanas A A",2005,Explosive volcanism in the Philippines,"CNEAS Monograph Ser, Tohoku Univ, 18: 1-146"
271011,Parker,"Delfin F G Jr, Newhall C G, Martinez M L, Salonga N D, Bayon F E B, Trimble D, Solidum R",1997,"Geological, 14C, and historical evidence for a 17th century eruption of Parker volcano, Mindanao, Philippines","J Geol Soc Philippines, 52: 25-42"
271011,Parker,Newhall C G,2004,,(pers. comm.)
271011,Parker,PHIVOLCS,2004-,Volcanoes,http://www.phivolcs.dost.gov.ph/Volcanolist/
271011,Parker,Smithsonian Institution-GVN,1990-,[Monthly event reports],"Bull Global Volc Network, v 15-33"
271020,Matutum,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
271020,Matutum,"Delfin F G Jr, Newhall C G, Martinez M L, Salonga N D, Bayon F E B, Trimble D, Solidum R",1997,"Geological, 14C, and historical evidence for a 17th century eruption of Parker volcano, Mindanao, Philippines","J Geol Soc Philippines, 52: 25-42"
271020,Matutum,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
271020,Matutum,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
271020,Matutum,PHIVOLCS,2004-,Volcanoes,http://www.phivolcs.dost.gov.ph/Volcanolist/
271020,Matutum,"Sajona F G, Bellon H, Maury R C, Pubellier M, Querbral R D, Cotten J, Bayon F E, Pagado E, Pematian P",1997,"Tertiary and Quaternary magmatism in Mindanao and Leyte (Philippines): geochronology, geochemistry and tectonic setting","J Asian Earth Sci, 15: 121-153"
271030,Apo,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
271030,Apo,"Del Mundo E T, Arpa M C",2007,,(pers. comm.)
271030,Apo,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
271030,Apo,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
271030,Apo,PHIVOLCS,2004-,Volcanoes,http://www.phivolcs.dost.gov.ph/Volcanolist/
271030,Apo,"Sajona F G, Bellon H, Maury R C, Pubellier M, Cotten J, Rangin C",1994,"Magmatic response to abrupt changes in geodynamic settings: Pliocene-Quaternary calc-alkaline and Nb-enriched lavas from Mindanao, Philippines","Tectonophysics, 237: 47-72"
271030,Apo,"Sajona F G, Bellon H, Maury R C, Pubellier M, Querbral R D, Cotten J, Bayon F E, Pagado E, Pematian P",1997,"Tertiary and Quaternary magmatism in Mindanao and Leyte (Philippines): geochronology, geochemistry and tectonic setting","J Asian Earth Sci, 15: 121-153"
271031,Leonard Range,"Del Mundo E T, Arpa M C",2007,,(pers. comm.)
271031,Leonard Range,PHIVOLCS,2004-,Volcanoes,http://www.phivolcs.dost.gov.ph/Volcanolist/
271031,Leonard Range,"Ramos S, Zaide-Delfin M, Takashima I, Bayrante L, Panem C, Pioquinto W",2000,"Thermoluminescence dating in Mt. Labo and North Davao, Philippines: implications on geothermal wells","Proc World Geotherm Cong 2000, Kyushu-Tohoku Japan, May 28-June 10, 2000, p 1617-1622"
271031,Leonard Range,"Sajona F G, Bellon H, Maury R C, Pubellier M, Cotten J, Rangin C",1994,"Magmatic response to abrupt changes in geodynamic settings: Pliocene-Quaternary calc-alkaline and Nb-enriched lavas from Mindanao, Philippines","Tectonophysics, 237: 47-72"
271031,Leonard Range,"Sajona F G, Bellon H, Maury R C, Pubellier M, Querbral R D, Cotten J, Bayon F E, Pagado E, Pematian P",1997,"Tertiary and Quaternary magmatism in Mindanao and Leyte (Philippines): geochronology, geochemistry and tectonic setting","J Asian Earth Sci, 15: 121-153"
271031,Leonard Range,Wolfe J A,1982,,(pers. comm.)
271040,Makaturing,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
271040,Makaturing,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
271040,Makaturing,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
271040,Makaturing,PHIVOLCS,2004-,Volcanoes,http://www.phivolcs.dost.gov.ph/Volcanolist/
271050,Latukan,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
271050,Latukan,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
271050,Latukan,PHIVOLCS,2004-,Volcanoes,http://www.phivolcs.dost.gov.ph/Volcanolist/
271050,Latukan,"Sajona F G, Bellon H, Maury R C, Pubellier M, Querbral R D, Cotten J, Bayon F E, Pagado E, Pematian P",1997,"Tertiary and Quaternary magmatism in Mindanao and Leyte (Philippines): geochronology, geochemistry and tectonic setting","J Asian Earth Sci, 15: 121-153"
271060,Ragang,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
271060,Ragang,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
271060,Ragang,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
271060,Ragang,PHIVOLCS,2004-,Volcanoes,http://www.phivolcs.dost.gov.ph/Volcanolist/
271060,Ragang,"Sajona F G, Bellon H, Maury R C, Pubellier M, Cotten J, Rangin C",1994,"Magmatic response to abrupt changes in geodynamic settings: Pliocene-Quaternary calc-alkaline and Nb-enriched lavas from Mindanao, Philippines","Tectonophysics, 237: 47-72"
271060,Ragang,"Sajona F G, Bellon H, Maury R C, Pubellier M, Querbral R D, Cotten J, Bayon F E, Pagado E, Pematian P",1997,"Tertiary and Quaternary magmatism in Mindanao and Leyte (Philippines): geochronology, geochemistry and tectonic setting","J Asian Earth Sci, 15: 121-153"
271061,Kalatungan,"Del Mundo E T, Arpa M C",2007,,(pers. comm.)
271061,Kalatungan,PHIVOLCS,1991,Volcanoes of the Philippines,"Manila: PHIVOLCS Press, 41 p"
271061,Kalatungan,PHIVOLCS,2004-,Volcanoes,http://www.phivolcs.dost.gov.ph/Volcanolist/
271070,Musuan,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
